Title,Period,Country,Classification
Tile with water flowers in a canal,13th - 11th Century BCE,Egypt,Not Assigned
"Price List of Wire Flower Stands, Etc.",Date Unknown,Null,Books
A Stone Tomb in a Forest; verso: Study of a Flower,Date Unknown,Null,Drawings
Woman Holding a Falcon and a Flower,Date Unknown,Null,Plaquettes
"New Year's Wishes for 1953, with a flower",Date Unknown,Null,Prints
Design for wall panels with putti and flower garlands,Date Unknown,Null,Drawings
"Trinity: Tall Box Leaning, Box With Dot, Long Flower Box",Date Unknown,Null,Prints
Standing female figurine holding a flower,7th - 5th Century BCE,Cyprus,Terracottas
View of the Flower Garden and Aviary at Kew,Date Unknown,Null,Drawings
Board game of the Flower Stage (Hanabutai atari sugoroku),19th - 20th Century,Japan,Prints
Necklace flowers,Date Unknown,Null,Gold and Silver
Flower Design,Date Unknown,Null,Prints
Flower Design,Date Unknown,Null,Prints
Desert Flower,Date Unknown,Null,Prints
Flower Sellers,Date Unknown,Null,Prints
Maize God emerging from a flower,Date Unknown,Mexico,Ceramics
Plum Flower,Date Unknown,Null,Prints
Spirit Flower,Date Unknown,Null,Prints
Flower Study,Date Unknown,Null,Drawings
Flower Study,Date Unknown,Null,Prints
Flower study,Date Unknown,Null,Prints
Flower Show,Date Unknown,Null,Prints
Hexagonal flower vase with magic fungus handles,13th - 14th Century,China,Metalwork
Flower Vendor,Date Unknown,Null,Drawings
"Bead pendant, with lotus flowers",Date Unknown,Null,Gold and Silver
"Bead pendant, with lotus flowers",Date Unknown,Null,Gold and Silver
"Bead pendant, with lotus flowers",Date Unknown,Null,Gold and Silver
"Bead pendant, with lotus flowers",Date Unknown,Null,Gold and Silver
"Bead pendant, with lotus flowers",Date Unknown,Null,Gold and Silver
Flower Vendor,Date Unknown,Null,Prints
Flower Basket,Date Unknown,United States,Not Assigned
Flower Designs,Date Unknown,Null,Prints
Orthostat relief: seated figure holding a lotus flower,12th - 8th Century BCE,Syria,Not Assigned
Flower Study,Date Unknown,Null,Not Assigned
Flower study,Date Unknown,Null,Not Assigned
Terracotta vessel fragment with reticulated pattern enclosing conventional flowers,32nd - 12th Century BCE,Greece,Vases
Flowering Tree,Date Unknown,India,Codices
Vase with Flowers,18th Century,China,Ceramics
Vase with Flowers,18th Century,China,Ceramics
Jar with Flowers,18th Century,China,Ceramics
Dish with bird and flowers,17th - 20th Century,China,Ceramics
Flower vase (vase hollandais nouveau) (one of a pair),Date Unknown,Null,Ceramics
Flower vase (vase hollandais nouveau) (one of a pair),Date Unknown,Null,Ceramics
Mirror with lions and flowers,7th - 10th Century,China,Mirrors
Limestone statuette of a female votary holding a flower,7th - 5th Century,Greece,Sculpture
"Figures, flowers, and landscapes",14th - 19th Century,China,Paintings
Limestone statuette of a female votary holding a flower,5th - 4th Century BCE,Greece,Sculpture
Service with Decoration of Flowers and Birds,12th - 14th Century,China,Metalwork
Garden seat with birds and flowers,14th - 17th Century,China,Cloisonné
Two terracotta fragments of a large jar with reticulated pattern enclosing conventional flowers,32nd - 12th Century BCE,Greece,Vases
Flower vase with stand (vase hollandais nouveau) (one of a pair),Date Unknown,Null,Ceramics
Flower vase with stand (vase hollandais nouveau) (one of a pair),Date Unknown,Null,Ceramics
Horizontal Panel with Decorative Flowers on a Vine and a Yellow and Gold Flower Above,Date Unknown,Null,Drawings
"How to know the wild flowers : a guide to the names, haunts, and habits of our common wild-flowers",Date Unknown,Null,Not Assigned
Dish with Flowering Plum and Birds,13th - 14th Century,China,Lacquer
"Landscapes, Figures, and Flowers",14th - 17th Century,China,Paintings
Horizontal Panel with Decorative Flower with Layers of Alternating Blue and Gray Petals,Date Unknown,Null,Drawings
Vertical Panel with a Decorative Flower with Three Blue Leaves on a Yellow Background,Date Unknown,Null,Drawings
Vertical Panel with a Flower Arrangement in a Vase Above a Series of Rectangles and White Circles,Date Unknown,Null,Drawings
Vertical Panel with a Pattern of Three Overlapping Leaves Alternating with a Decorative Flower,Date Unknown,Null,Drawings
Bowl with imaginary composite flowers,19th Century,China,Ceramics
Keman (“Flower Garland” Temple Decoration),17th - 19th Century,Japan,Metalwork
Keman (“Flower Garland” Temple Decoration),17th - 19th Century,Japan,Metalwork
Keman (“Flower Garland” Temple Decoration),17th - 19th Century,Japan,Metalwork
Keman (“Flower Garland” Temple Decoration),17th - 19th Century,Japan,Metalwork
Keman (“Flower Garland” Temple Decoration),17th - 19th Century,Japan,Metalwork
Keman (“Flower Garland” Temple Decoration),17th - 19th Century,Japan,Metalwork
Flower basket,Date Unknown,Null,Metalwork
Ornamental Design with Fruit and Flowers (recto); Flower Stalk with Leaves (verso),Date Unknown,Null,Drawings
Book of Humorous Poems on the Cherry Flower and the Maple Leaves,17th - 19th Century,Japan,Illustrated Books
Large Dish with Flower Vases and Landscapes in Cartouches,17th - 19th Century,Japan,Ceramics
"Design drawing of flower buds and seedpods of floral capitals from loggia, Laurelton Hall",Date Unknown,Null,Not Assigned
Camellia Flower and Yokan (a sort of bean jelly) Wrapped in Bamboo Skin,17th - 19th Century,Japan,Prints
Design for Single Footed Dish with Cover Shaped like Flower and Foliage,Date Unknown,Null,Drawings
"""Refined Elegance in the Four Seasons"" (Shiji seiga), Album of Flower Paintings",17th - 19th Century,Japan,Paintings
Hexagonal Jar with Flower and Bird Decoration (one of a pair),17th - 19th Century,Japan,Ceramics
Hexagonal jar with Flower and Bird Decoration (one of a pair),17th - 19th Century,Japan,Ceramics
True Depictions of Bird and Flower Pictures (Kachōe shashin zui) 花鳥写真図彙; 花鳥写真図会(かちょうえ しゃしん ずえ),17th - 19th Century,Japan,Illustrated Books
Fragment of a Carpet with Niche and Flower Design,Date Unknown,Null,Textiles
"Horizontal Panel with Decorative Purple Flower at Center, Flanked by Yellow Floral Designs Below",Date Unknown,Null,Drawings
Set of wine cups with flowers of the twelve months,17th Century,China,Ceramics
"[Bedroom Interior with Hanging Light Fixture, Flower Print Wallpaper, and Decaying Ceiling]",Date Unknown,Null,Negatives
Book cover with overall pattern of stars or flower shapes and dots,Date Unknown,Null,Prints
Shard:  Shoulder of Vessel with Profile of Offerer with Flower,Date Unknown,Null,Ceramics
"Venus, standing with the three Graces, is offered a flower from a putto",Date Unknown,Null,Prints
"Palm and Flower Drive, Westlake Park, Los Angeles, Cal.",Date Unknown,Null,Prints
"Two Plaques from a Tantric Ritual Apron, Kinnari, and Lotus Flower",Date Unknown,Null,Ivories and Bone
The Flower Market,Date Unknown,Null,Prints
"Plan of the Flower Garden on the Northern Front, Ingestre Hall, Staffordshire",Date Unknown,Null,Drawings
Cloisonne furniture plaque with an infant on a lotus flower,10th - 7th Century BCE,Iraq,Not Assigned
Chiyoda Inner Palace: No.20 Flower Arranging in Turn (Chiyoda no Ōoku: Chanoyu mawaribana),19th - 20th Century,Japan,Prints
"Teahouse girl and servant: Snow from the series Comparison of Snow, Moon and Flower Beauty",17th - 19th Century,Japan,Prints
"Design for a Wall with a Flower Vase, Birds, Two Gold Fish and Globe Fountains",Date Unknown,Null,Drawings
Collection of Flower Brocades (Kinkashū) 錦花集; 上京帰路待請狂歌錦花集(じょうきょう きろ まちうけ きょうか きんかしゅう)  ; 東海道 狂歌錦花集(とうかいどう きょうか きんかしゅう),17th - 19th Century,Japan,Illustrated Books
Limestone head of a beardless male with a wreath of flower buds,11th Century BCE - 8th Century CE,Null,Sculpture
Hanging Flower Basket (Kake-hanakago) in the Shape of a Cicada,19th - 20th Century,Japan,Basketry
"The Oxford Drawing Book to which is added, Lessons in Flower Drawing",Date Unknown,Null,Books
"The Flower Seller and the Undertaker, from ""The Complete Works of Béranger""",Date Unknown,Null,Prints
Flower and Bird,17th - 20th Century,China,Paintings
Flower Still II,Date Unknown,Null,Photographs
[Indian Flower Vendor],Date Unknown,Null,Photographs
Flower and Bird,Date Unknown,Null,Paintings
Moon flask with white flower motif on raised foot with flat handles,Date Unknown,Null,Ceramics
Dish with six-petalled flower design and floral scroll on cavetto,Date Unknown,Null,Ceramics
"Stained-glass Flower Cupboard for Living Room or Hall (Bradley House, ""Ladies Home Journal"", 1901–1902)",Date Unknown,Null,Drawings
The flower market,Date Unknown,Null,Prints
Bloomingdale Flower Basket,Date Unknown,Null,Prints
Snow. Moon. Flower,Date Unknown,Null,Prints
Elevation of a Double Wall Sconce with a Flower in a Basket,Date Unknown,France,Drawings
Flower and Rock,Date Unknown,Null,Paintings
"Dish with rocks, flowers, and birds",Date Unknown,Null,Ceramics
Bottle with flowers of the four seasons,Date Unknown,Null,Ceramics
"Dish with rocks, flowers, and birds",Date Unknown,Null,Ceramics
Dish with auspicious flowers and fruits,17th - 20th Century,China,Enamels
"Dish with flowers, fruits, and butterfly",18th Century,China,Enamels
Vase in Shape of Archaic Bronze Vessel with Flowers and Birds,17th Century,China,Ceramics
Vase with Flowers,18th Century,China,Jade
"Ornament, flower-shaped mount for stone base",Date Unknown,Null,Gold and Silver
"Ornament, flower-shaped mount for stone base",Date Unknown,Null,Gold and Silver
"Ornament, flower-shaped mount for stone base",Date Unknown,Null,Gold and Silver
"Ornament, flower-shaped mount for stone base",Date Unknown,Null,Gold and Silver
Portrait of a Girl with Flowers,Date Unknown,Null,Not Assigned
Still Life—Flowers and Fruit in White and Pink Bowl,Date Unknown,Null,Not Assigned
Teapot with Japanese-style flowers,Date Unknown,Null,Ceramics
Vase with Flowers and Scholar’s Implements,17th Century,China,Ceramics
Vase with Flowering Plants and Birds,17th Century,China,Ceramics
Plate with Basket of Auspicious Flowers,17th Century,China,Ceramics
Lotus-leaf formed tray with flowers and fruits,17th - 20th Century,China,Enamels
"Lobed dish with flowers, fruits, and insects",17th - 20th Century,China,Enamels
Bowl with flowering vine,Date Unknown,United States,Not Assigned
Basket of flowers,Date Unknown,Null,Ceramics
Vase with Basket of Auspicious Flowers,18th Century,China,Ceramics
"Sea Flower (Actinia Senilis), from the Flowers series for Old Judge Cigarettes",Date Unknown,Null,Prints
Lady's Hand and Flowers,Date Unknown,Null,Not Assigned
Dish with flowers and birds,Date Unknown,Null,Ceramics
Bowl with flowers,18th Century,China,Ceramics
Tapestry with Dragons and Flowers,Date Unknown,Null,Textiles
Vertical Panel with Crescent-Shaped Flower in the Lozenge at Center and Bows of Alternating Purple and Gold Lines Above and Below,Date Unknown,Null,Drawings
"Ornament, flower-shaped mount for stone bead",Date Unknown,Null,Gold and Silver
"Ornament, flower-shaped mount for stone bead",Date Unknown,Null,Gold and Silver
“Woman” Flower Basket (Hanaire),20th - 21st Century,Japan,Basketry
"One Hundred Comic Poems of the Flower, One of the Three Friends, Tsuki, the Moon, Yuki, the Snow, and Hana, the Flower",17th - 19th Century,Japan,Illustrated Books
"Lobed tray with rock, flowers, and butterflies",17th - 20th Century,China,Enamels
Meadow Flowers Vase,Date Unknown,Null,Glass
Covered box with flowering plum,12th - 14th Century,China,Ceramics
"Vase with landscape, flowers, and gardens",17th Century,China,Ceramics
Dish with Pattern of Flowering Plants,Date Unknown,Turkey,Ceramics
Textile Design with Alternating Rows of Circular Flower Buds on Stems with Two Leaves and Decorated by Pearls Framed with Garlands of Branches,Date Unknown,Null,Drawings
"Flower Dance, from National Dances (N225, Type 2) issued by Kinney Bros.",Date Unknown,Null,Prints
Cornflower-Bead Necklace,16th - 11th Century BCE,Egypt,Not Assigned
Plate Depicting a Flowering Bush in Two-Toned Luster,Date Unknown,Iraq,Ceramics
"Portrait of Girl in Flower Bower, Walking Draped Female Figure, Angel, Dead Mother and Child, Three Draped Figures (from Sketchbook)",Date Unknown,Null,Not Assigned
Case (Inrō) with Design of Young Woman with Flower Basket of Plum Blossoms (obverse); Four Large Characters (reverse),17th - 19th Century,Japan,Inrō
"Actress with long hair seated with flower on lap, from the Actresses series (N668)",Date Unknown,Null,Photographs
"She gathers the fairest flower (Il più bel fior ne coglie), a group of six putti working together in an arched workshop",Date Unknown,Null,Prints
"Saint Catherine of Alexandria, kneeling with her elbow resting on the spiked wheel, and an angel crowning her with a flower wreath",Date Unknown,Null,Prints
Le Parterre de Nancy ou Jardin de Nancy (The Flower Bed of Nancy or the Garden of Nancy),Date Unknown,Null,Prints
Flower Child and Soldiers,Date Unknown,Null,Photographs
"Flower Dance, from National Dances (N225, Type 1) issued by Kinney Bros.",Date Unknown,Null,Prints
"Flower Dance, from National Dances (N225, Type 1) issued by Kinney Bros.",Date Unknown,Null,Prints
"Flower Dance, from National Dances (N225, Type 1) issued by Kinney Bros.",Date Unknown,Null,Prints
"The Flower Fair, Spain, from the Holidays series (N80) for Duke brand cigarettes",Date Unknown,Null,Prints
"Flower Day, Japan, from the Holidays series (N80) for Duke brand cigarettes",Date Unknown,Null,Prints
Air Flower (Fleur d'air),Date Unknown,Null,Prints
Flowerpot and stand,Date Unknown,United States,Not Assigned
Faceted vase with flowers,13th - 14th Century,China,Ceramics
Vase with Rocks and Flowers,17th - 20th Century,China,Ceramics
Vase with Basket of Auspicious Flowers,18th Century,China,Ceramics
"39. Pasque Flower, bakery insert card from the Flower Pictures series (D36), issued by the Freihofer Baking Company",Date Unknown,Null,Prints
"Single-cut (Ichijūgiri) Flower Container, “Yoshinoyama” (Mount Yoshino)",17th - 19th Century,Japan,Basketry
"1. Crocus, bakery insert card from the Flower Pictures series (D36), issued by the Freihofer Baking Company",Date Unknown,Null,Prints
"20. Columbine, bakery insert card from the Flower Pictures series (D36), issued by the Freihofer Baking Company",Date Unknown,Null,Prints
"4. Orange, bakery insert card from the Flower Pictures series (D36), issued by the Freihofer Baking Company",Date Unknown,Null,Prints
"11. Hepatica, bakery insert card from the Flower Pictures series (D36), issued by the Freihofer Baking Company",Date Unknown,Null,Prints
"24. Rhododendron, bakery insert card from the Flower Pictures series (D36), issued by the Freihofer Baking Company",Date Unknown,Null,Prints
"7. Mistletoe, bakery insert card from the Flower Pictures series (D36), issued by the Freihofer Baking Company",Date Unknown,Null,Prints
"13. Spiderwort, bakery insert card from the Flower Pictures series (D36), issued by the Freihofer Baking Company",Date Unknown,Null,Prints
"30. Dandelion, bakery insert card from the Flower Pictures series (D36), issued by the Freihofer Baking Company",Date Unknown,Null,Prints
"19. Trumpet Vine, bakery insert card from the Flower Pictures series (D36), issued by the Freihofer Baking Company",Date Unknown,Null,Prints
"25. Syringa, bakery insert card from the Flower Pictures series (D36), issued by the Freihofer Baking Company",Date Unknown,Null,Prints
"2. Moccasin, bakery insert card from the Flower Pictures series (D36), issued by the Freihofer Baking Company",Date Unknown,Null,Prints
"18. Apple Blossom, bakery insert card from the Flower Pictures series (D36), issued by the Freihofer Baking Company",Date Unknown,Null,Prints
"5. Holly, bakery insert card from the Flower Pictures series (D36), issued by the Freihofer Baking Company",Date Unknown,Null,Prints
"35. Iris, bakery insert card from the Flower Pictures series (D36), issued by the Freihofer Baking Company",Date Unknown,Null,Prints
"47. Clover, bakery insert card from the Flower Pictures series (D36), issued by the Freihofer Baking Company",Date Unknown,Null,Prints
"31. Buttercup, bakery insert card from the Flower Pictures series (D36), issued by the Freihofer Baking Company",Date Unknown,Null,Prints
"28. Trillium, bakery insert card from the Flower Pictures series (D36), issued by the Freihofer Baking Company",Date Unknown,Null,Prints
"46. Anemone, bakery insert card from the Flower Pictures series (D36), issued by the Freihofer Baking Company",Date Unknown,Null,Prints
"40. Lupine, bakery insert card from the Flower Pictures series (D36), issued by the Freihofer Baking Company",Date Unknown,Null,Prints
"16. Geranium, bakery insert card from the Flower Pictures series (D36), issued by the Freihofer Baking Company",Date Unknown,Null,Prints
Vase with Flowers,19th Century,China,Jade
Vase with Flowers,19th Century,China,Jade
Gourd-shaped Flower Basket (Hyōtangata hanakago),20th Century,Japan,Basketry
Bouquet of Flowers,Date Unknown,Null,Drawings
Plate with vase of flowers,14th - 17th Century,China,Ceramics
